model,params_json,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,selection_rank
logistic_regression,"{""C"": 0.05, ""class_weight"": ""balanced""}",0.7147337529143903,0.0063698957092247,0.6834395642452948,0.0053393218347735,0.6580491650974606,0.0170799094658913,0.6704328627582294,0.0104114120212573,0.7850418975381512,0.0090537773164813,0.763293555315784,0.0120746561885413,1
linear_svm,"{""C"": 0.01, ""class_weight"": ""balanced""}",0.7146882157759402,0.0058005347676268,0.6872246095173351,0.0046013090772517,0.6481609116729302,0.0175467270571697,0.6670344233795162,0.0102461569786685,0.7851318568175947,0.0090031227074161,0.7629040640510573,0.0119916852360446,2
random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 80}",0.7131894854915837,0.0060655310741063026,0.7008270910521901,0.008811393876977474,0.6104651057907551,0.011917576649251777,0.6524710359683178,0.008304738328429274,0.7772016311271918,0.009444259285527027,0.7575362694201354,0.011167684481814703,3
