model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
Logistic Regression,0.7147337529143903,0.0063698957092247445,0.6834395642452948,0.005339321834773556,0.6580491650974606,0.017079909465891312,0.6704328627582294,0.010411412021257335,0.7850418975381512,0.00905377731648134,0.763293555315784,0.012074656188541368
Linear SVM,0.7146882157759402,0.0058005347676268445,0.6872246095173351,0.004601309077251701,0.6481609116729302,0.017546727057169757,0.6670344233795162,0.010246156978668588,0.7851318568175947,0.009003122707416183,0.7629040640510573,0.011991685236044661
Random Forest,0.7131894854915837,0.0060655310741063026,0.7008270910521901,0.008811393876977474,0.6104651057907551,0.011917576649251777,0.6524710359683178,0.008304738328429274,0.7772016311271918,0.009444259285527027,0.7575362694201354,0.011167684481814703
Naive Bayes,0.6039704373099302,0.007474391997482891,0.533705884354921,0.005920961934103558,0.8098675605968235,0.005937255721672109,0.6433890245700826,0.005138937993965298,0.7195399480501916,0.009299087139950516,0.6847689733662443,0.012194262048250604
Decision Tree,0.6872481867849284,0.009462758536602932,0.6561990250372822,0.017916568822024255,0.6132449484297593,0.02118930854205455,0.6336107150567393,0.009260078657816194,0.7381032625846382,0.008517179224041889,0.7038046378983835,0.00973479694876157
KNN,0.6893822999881875,0.005014632642575475,0.675144688752876,0.0062871485864466085,0.5701927245078954,0.012809103537226293,0.6181842623590095,0.00851966516269945,0.7355928944018796,0.007347449469215021,0.7075851678962579,0.010434555548399999
